District,State,Students,Charter_Percent,ELL_Percent,IEP_Percent,Low_Income_Percent,Pupil_Teacher_Ratio,Exp_Rev_Ratio,Strike
ISAAC ELEMENTARY DISTRICT,Arizona,7297,0,0.3,0.11,0.997670275,19.67,1.064,1
BERRYESSA UNION ELEMENTARY,California,7296,0,0.34,0.11,0.322916667,24.17,0.93,0
SALINA,Kansas,7286,0,0.12,0.18,0.611172111,13.26,1.129,0
PLEASANT VALLEY,California,7284,0.08,0.08,0.15,0.288028556,22.42,0.952,0
CHESTERFIELD 01,South Carolina,7283,0,0.03,0.1,1,14.88,0.953,0
LIVERPOOL CENTRAL SCHOOL DISTRICT,New York,7279,0,0.02,0.2,0.384942987,13.51,1.028,0
HAYWOOD COUNTY SCHOOLS,North Carolina,7277,0,0.03,0.17,0.571664147,14.61,1.064,0
FARMINGTON PUBLIC SCHOOL DISTRICT,Minnesota,7267,0,0.03,0.15,0.154534196,17.75,0.91,0
WASHINGTON CO PBLC SCHS,Virginia,7264,0,0,0.16,0.462968062,15.1,0.996,0
HUNTSVILLE ISD,Texas,7260,0,0.11,0.08,0.569834711,18.16,0.982,0
PASCAGOULA GAUTIER SCHOOL DIST,Mississippi,7256,0,0.12,0.14,0.992971334,14.11,1.049,0
DODGE CITY,Kansas,7253,0,0.53,0.12,0.812905005,17.07,0.87,0
PENNRIDGE SD,Pennsylvania,7250,0,0.01,0.18,0.196413793,16.79,0.947,0
UINTAH DISTRICT,Utah,7236,0,0.03,0.13,0.504560531,21.8,0.897,0
MOLINE-COAL VALLEY CUSD 40,Illinois,7230,0,0.1,0.14,0.510650069,18.28,1.143,0
LENNOX,California,7217,0.36,0.39,0.12,0.93030345,21.56,1.163,0
STEVENS POINT AREA PUBLIC SCHOOL DISTRICT,Wisconsin,7203,0.11,0.05,0.14,0.305844787,15.91,1.047,0
NIAGARA FALLS CITY SCHOOL DISTRICT,New York,7200,0,0.01,0.2,0.708333333,16.62,1.403,0
M S D SOUTHWEST ALLEN COUNTY SCHLS,Indiana,7193,0,0.01,0.1,0.143889893,17.45,0.968,0
DE SOTO,Kansas,7189,0,0.04,0.08,0.125191264,14.99,0.865,0
TEXARKANA ISD,Texas,7169,0,0.06,0.09,0.681406054,13.7,0.969,0
LEVITTOWN UNION FREE SCHOOL DISTRICT,New York,7166,0,0.02,0.15,0.113452414,11.36,0.986,0
EAST MEADOW UNION FREE SCHOOL DISTRICT,New York,7160,0,0.04,0.14,0.218994413,11.74,0.998,0
HUNTINGTON BEACH CITY ELEMENTARY,California,7155,0.1,0.05,0.11,0.163801537,27.42,0.947,0
JOHNSTON COMM SCHOOL DISTRICT,Iowa,7152,0,0.06,0.08,0.203159955,17.34,1.109,0
UNIONDALE UNION FREE SCHOOL DISTRICT,New York,7152,0,0.19,0.13,0.6575783,12.41,0.981,0
VESTAVIA HILLS CITY,Alabama,7150,0,0.01,0.05,0.099300699,16.67,1.007,0
ATLANTIC CITY SCHOOL DISTRICT,New Jersey,7142,0,0.14,0.14,0.809437132,11.79,0.971,0
SOUTH ORANGE-MAPLEWOOD SCHOOL DISTRICT,New Jersey,7136,0,0.01,0.15,0.179652466,13.29,1.001,0
HOWELL PUBLIC SCHOOLS,Michigan,7135,0,0.01,0.12,0.229992992,18.6,0.873,0
WAYNE COUNTY SCHOOLS,West Virginia,7135,0,0.01,0.2,0.392992292,13.85,0.977,1
SHELBY COUNTY,Kentucky,7127,0,0.09,0.15,0.520134699,16.67,1.041,1
BRUNSWICK CITY,Ohio,7126,0,0.01,0.11,0.179904575,18.31,0.927,0
DERBY,Kansas,7124,0,0.1,0.15,0.47571589,15.72,1.179,0
MIDDLETON-CROSS PLAINS AREA SCHOOL DISTRICT,Wisconsin,7118,0.17,0.05,0.11,0.167743748,13.73,1.093,0
WHITE PLAINS CITY SCHOOL DISTRICT,New York,7105,0,0.16,0.17,0.421393385,12.87,0.963,0
SNOQUALMIE VALLEY SCHOOL DISTRICT,Washington,7100,0,0.03,0.1,0.115774648,21.02,0.947,0
PARSIPPANY-TROY HILLS TOWNSHIP SCHOOL DISTRICT,New Jersey,7098,0,0.06,0.16,0.15046492,11.27,1.032,0
CAMAS SCHOOL DISTRICT,Washington,7097,0,0.03,0.11,0.15443145,19.39,0.866,0
WASHINGTON LOCAL,Ohio,7096,0,0.01,0.14,0.542277339,17.78,0.963,0
LAKE OSWEGO SD 7J,Oregon,7096,0,0.02,0.1,0.083145434,20.37,0.934,0
MONROE SCHOOL DISTRICT,Washington,7096,0,0.08,0.11,0.191666667,23.42,0.927,0
SOUTHEAST POLK COMM SCHOOL DISTRICT,Iowa,7090,0,0.02,0.1,0.276022567,16.29,0.849,0
LINCOLN WAY CHSD 210,Illinois,7087,0,0,0.12,0.091858332,18.14,1.002,0
MASSAPEQUA UNION FREE SCHOOL DISTRICT,New York,7083,0,0,0.02,0.0861217,11.58,0.944,0
WAUWATOSA SCHOOL DISTRICT,Wisconsin,7081,0.12,0.01,0.12,0.225815563,15.16,0.991,0
CLAREMONT UNIFIED,California,7066,0,0.06,0.11,0.356920464,24.97,1.017,0
KOKOMO SCHOOL CORPORATION,Indiana,7058,0,0.01,0.19,0.607537546,18.51,0.996,0
ENTERPRISE CITY,Alabama,7052,0,0.05,0.05,0.445972774,20.03,0.813,0
MOUNTAIN VIEW ELEMENTARY,California,7052,0,0.58,0.12,0.912648894,23.99,0.999,0
GRANBURY ISD,Texas,7048,0,0.08,0.11,0.490493757,15.68,1.348,0
MCCRACKEN COUNTY,Kentucky,7045,0,0.01,0.13,0.465578424,17.34,0.981,1
REYNOLDSBURG CITY,Ohio,7045,0,0.1,0.11,0.480198722,23.98,0.72,0
HIGHLAND PARK ISD,Texas,7044,0,0.01,0.08,0,15.01,0.98,0
JEFFERSON ELEMENTARY,California,7039,0,0.41,0.1,0.255502805,21.91,0.874,0
PREMIER HIGH SCHOOLS,Texas,7038,1,0.18,0.1,0.615657857,30.63,0.836,0
ROUND LAKE CUSD 116,Illinois,7030,0,0.25,0.16,0.630583215,14.29,1.002,0
PHENIX CITY,Alabama,7029,0,0.01,0.06,0.71133874,18.74,1.02,0
MONROE-WOODBURY CENTRAL SCHOOL DISTRICT,New York,7005,0,0.03,0.19,0.233261956,14.32,0.971,0
TUPELO PUBLIC SCHOOL DIST,Mississippi,6995,0,0.05,0.14,0.612723374,14.66,0.997,0
LEE COUNTY SCHOOL DISTRICT,Mississippi,6978,0,0.02,0.14,0.613929493,15.07,1.123,0
WILKES-BARRE AREA SD,Pennsylvania,6963,0,0.07,0.22,0.94398966,15.02,1.067,0
FREEPORT UNION FREE SCHOOL DISTRICT,New York,6952,0,0.2,0.15,0.695771001,13.39,0.964,0
HUTTO ISD,Texas,6945,0,0.09,0.11,0.421166307,15.9,0.968,0
BELOIT SCHOOL DISTRICT,Wisconsin,6943,0.07,0.14,0.13,0.738297566,15.44,1.108,0
LOS ANGELES COUNTY OFFICE OF EDUCATION,California,6937,0.33,0.08,0.04,0.659074528,10.14,0.982,0
BEAUFORT COUNTY SCHOOLS,North Carolina,6936,0,0.05,0.14,0.749134948,14.19,1.028,0
LAWRENCE COUNTY,Tennessee,6936,0,0.01,0.12,0.707459207,15.69,1.015,0
ZIONSVILLE COMMUNITY SCHOOLS,Indiana,6933,0,0.01,0.13,0.045579114,18.35,0.862,0
WARSAW COMMUNITY SCHOOLS,Indiana,6921,0,0.08,0.16,0.477243173,17.11,0.867,0
BOYERTOWN AREA SD,Pennsylvania,6920,0,0,0.22,0.229913295,14.92,1.051,0
EAST STROUDSBURG AREA SD,Pennsylvania,6915,0,0.02,0.2,0.466955893,12.94,0.967,0
KENMORE-TONAWANDA UNION FREE SCHOOL DISTRICT,New York,6913,0,0.03,0.24,0.468537538,11.24,1.031,0
ELMBROOK SCHOOL DISTRICT,Wisconsin,6912,0,0.04,0.09,0.078269676,15.1,0.955,0
EAGLE COUNTY SCHOOL DISTRICT NO. RE 50,Colorado,6901,0.06,0.27,0.11,0.41863498,15.3,0.912,1
GALVESTON ISD,Texas,6894,0.33,0.15,0.08,0.723817813,15.06,0.945,0
COMM CONS SD 59,Illinois,6891,0,0.32,0.14,0.583804963,14.33,1.058,0
HOPKINS COUNTY,Kentucky,6888,0,0.01,0.19,0.585656214,14.88,1.084,1
LENAPE REGIONAL HIGH SCHOOL DISTRICT,New Jersey,6886,0,0,0.16,0.117775196,11.91,0.954,0
HABERSHAM COUNTY,Georgia,6883,0,0.13,0.17,0.627197443,13.92,0.959,0
WALLER ISD,Texas,6874,0,0.25,0.06,0.632673843,17.21,0.894,0
HOPKINS PUBLIC SCHOOL DISTRICT,Minnesota,6871,0,0.08,0.13,0.360791733,14.99,1.053,0
HEMPFIELD  SD,Pennsylvania,6864,0,0.04,0.18,0.311334499,14.62,0.956,0
CULVER CITY UNIFIED,California,6856,0,0.11,0.09,0.305425904,23.38,0.967,0
LAVEEN ELEMENTARY DISTRICT,Arizona,6854,0,0.07,0.14,0.380507733,52.72,1.026,1
CARLSBAD MUNICIPAL SCHOOLS,New Mexico,6844,0.14,0.07,0.16,0.567504383,17.46,0.861,0
QUINCY SD 172,Illinois,6837,0,0,0.19,0.481058944,16.74,0.944,0
MEDINA CITY SD,Ohio,6836,0,0.01,0.14,0.202165009,20.03,0.826,0
SUNNYSIDE SCHOOL DISTRICT,Washington,6832,0,0.32,0.14,0.802400468,19.58,0.968,0
LONGVIEW SCHOOL DISTRICT,Washington,6828,0,0.06,0.15,0.61877563,18.36,0.944,0
CLARK-PLEASANT COMMUNITY SCH CORP,Indiana,6826,0,0.03,0.15,0.434515089,21.54,0.874,0
WEST BEND SCHOOL DISTRICT,Wisconsin,6824,0.07,0.02,0.15,0.264800703,17.45,1.04,0
MILLCREEK TOWNSHIP SD,Pennsylvania,6820,0,0.02,0.18,0.394134897,15.55,1.065,0
PASO ROBLES JOINT UNIFIED,California,6814,0,0.19,0.13,0.487965952,24.88,0.969,0
WEST OTTAWA PUBLIC SCHOOL DISTRICT,Michigan,6804,0,0.18,0.1,0.468694885,16.79,0.922,0
GOSHEN COMMUNITY SCHOOLS,Indiana,6801,0,0.2,0.15,0.621085135,17.36,0.899,0
STRATFORD SCHOOL DISTRICT,Connecticut,6800,0,0.05,0.14,0.183350896,13,0.964,0
ANGLETON ISD,Texas,6798,0,0.1,0.1,0.617240365,16.47,0.925,0
WHITE SETTLEMENT ISD,Texas,6797,0,0.11,0.1,0.551713991,15.97,0.93,0
MCMINNVILLE SD 40,Oregon,6794,0,0.14,0.14,0.565057404,18.74,0.921,0
WASATCH DISTRICT,Utah,6779,0,0.09,0.09,0.348724001,21.8,0.862,0
MANHATTAN BEACH UNIFIED,California,6776,0,0.02,0.13,0.030991736,25.66,1.07,0
CLEBURNE ISD,Texas,6774,0,0.18,0.09,0.665633304,14.38,0.949,0
MOUNT VERNON SCHOOL DISTRICT,Washington,6765,0,0.24,0.13,0.710012063,17.36,0.933,0
SANTEE,California,6761,0,0.09,0.13,0.399940837,25.82,0.902,0
STATE COLLEGE AREA SD,Pennsylvania,6761,0,0.03,0.12,0.17734063,12.8,0.955,0
LA CROSSE SCHOOL DISTRICT,Wisconsin,6750,0.29,0.06,0.15,0.466962963,12.49,0.983,0
TREDYFFRIN-EASTTOWN SD,Pennsylvania,6749,0,0.02,0.16,0.064157653,15.02,1.196,0
MONTCLAIR PUBLIC SCHOOLS,New Jersey,6741,0,0.01,0.19,0.142708797,11.41,1.033,0
TUMWATER SCHOOL DISTRICT,Washington,6741,0,0.03,0.12,0.302774069,20.05,0.976,0
JACKSON,Florida,6738,0,0.01,0.15,0.692341941,14.34,1.03,0
BRAINERD PUBLIC SCHOOL DISTRICT,Minnesota,6738,0,0,0.2,0.401454438,16.34,0.954,0
DRY CREEK JOINT ELEMENTARY,California,6728,0,0.17,0.11,0.366973841,22.52,0.939,0
WEST ORANGE PUBLIC SCHOOLS,New Jersey,6728,0,0.03,0.2,0.425535077,10.55,0.987,0
KINGMAN UNIFIED SCHOOL DISTRICT,Arizona,6725,0,0.02,0.15,0.735464684,23.21,0.968,1
CORVALLIS SD 509J,Oregon,6716,0.08,0.08,0.11,0.34842168,20.18,0.914,0
TAYLOR SCHOOL DISTRICT,Michigan,6715,0,0.04,0.19,0.716753537,17.33,0.962,0
WEST SENECA CENTRAL SCHOOL DISTRICT,New York,6715,0,0.01,0.16,0.364854803,14.97,0.993,0
EAST HARTFORD SCHOOL DISTRICT,Connecticut,6713,0,0.1,0.19,0.56249069,13.09,1.022,0
PORTLAND PUBLIC SCHOOLS,Maine,6711,0,0.24,0.15,0.274539113,11.62,0.936,0
NEWHALL,California,6706,0,0.27,0.13,0.388607217,24.58,1.167,0
WHEELING CCSD 21,Illinois,6698,0,0.37,0.12,0.595550911,15,1.135,0
ORANGEBURG 05,South Carolina,6697,0.07,0.02,0.13,1,16.38,0.948,0
LAPORTE COMMUNITY SCHOOL CORP,Indiana,6694,0,0.03,0.15,0.52823424,17.07,0.924,0
HUDSONVILLE PUBLIC SCHOOL DISTRICT,Michigan,6693,0,0.01,0.11,0.187061109,18.98,1.275,0
WARREN COUNTY,Tennessee,6682,0,0.05,0.14,0.567574545,14.27,1.013,0
GORDON COUNTY,Georgia,6677,0,0.05,0.11,0.630822226,14.85,0.917,0
LINDBERGH SCHOOLS,Missouri,6677,0,0.05,0.13,0.17912236,16.17,0.947,0
WORCESTER COUNTY PUBLIC SCHOOLS,Maryland,6667,0,0.02,0.13,0.444277786,11.4,0.999,0
TRUMBULL SCHOOL DISTRICT,Connecticut,6666,0,0.02,0.12,0.095559556,12.98,0.96,0
GREAT NECK UNION FREE SCHOOL DISTRICT,New York,6664,0,0.05,0.16,0.174669868,10.33,0.979,0
MOORHEAD PUBLIC SCHOOL DISTRICT,Minnesota,6656,0,0.07,0.17,0.399188702,16.79,0.957,0
EL DORADO UNION HIGH,California,6649,0.14,0.01,0.13,0.178372688,23.18,1.072,0
MARICOPA UNIFIED SCHOOL DISTRICT,Arizona,6646,0,0.03,0.15,0.622630153,23.71,0.903,1
PHOENIX ELEMENTARY DISTRICT,Arizona,6645,0,0.18,0.12,0.913167795,18.67,1.039,1
MONROE TOWNSHIP SCHOOL DISTRICT,New Jersey,6641,0,0.01,0.16,0.085228128,13.33,0.968,0
MILFORD EXEMPTED VILLAGE,Ohio,6641,0,0.01,0.13,0.235657281,20.44,0.734,0
NEENAH JOINT SCHOOL DISTRICT,Wisconsin,6639,0.07,0.02,0.14,0.255008284,16.44,0.998,0
HARLEM UD 122,Illinois,6638,0,0.04,0.16,0.572913528,14.26,0.95,0
ANDERSON COUNTY,Tennessee,6609,0,0,0.18,0.443799472,14.67,1.032,0
QUEEN CREEK UNIFIED DISTRICT,Arizona,6599,0,0.01,0.13,0.257311714,21.9,1.16,1
MUNCIE COMMUNITY SCHOOLS,Indiana,6598,0,0.01,0.22,0.644892392,17.65,0.931,0
SOUDERTON AREA SD,Pennsylvania,6598,0,0.05,0.19,0.221582298,14.21,0.901,0
MURRAY DISTRICT,Utah,6598,0,0.05,0.13,0.372537132,21.8,0.829,0
OAK CREEK-FRANKLIN JOINT SCHOOL DISTRICT,Wisconsin,6598,0,0.06,0.1,0.238254016,17.15,0.954,0
MANHATTAN-OGDEN,Kansas,6597,0,0.06,0.16,0.38669092,13.47,1.006,0
CENTENNIAL PUBLIC SCHOOL DISTRICT,Minnesota,6590,0,0.02,0.15,0.177693475,18.6,0.986,0
DINUBA UNIFIED,California,6586,0,0.33,0.07,0.777862132,23.96,0.961,0
DEKALB CUSD 428,Illinois,6585,0,0.12,0.15,0.581624905,16.91,1.032,0
JOLIET TWP HSD 204,Illinois,6584,0,0.05,0.16,0.615431349,18.96,0.99,0
UKIAH UNIFIED,California,6579,0.27,0.26,0.12,0.692810458,22.22,1.055,0
KLAMATH COUNTY SD,Oregon,6579,0.05,0.05,0.15,0.606931145,19.12,1.202,0
LEWIS-PALMER CONSOLIDATED SCHOOL DISTRICT NO. 38 IN THE CO,Colorado,6577,0.11,0.02,0.11,0.087425878,18.98,0.927,1
BUTLER AREA SD,Pennsylvania,6573,0,0.01,0.19,0.380495968,13.8,0.989,0
MERRILLVILLE COMMUNITY SCHOOL CORP,Indiana,6558,0,0.02,0.14,0.604910034,18.11,0.801,0
ROMA ISD,Texas,6551,0,0.62,0.06,0.882460693,14.64,1.037,0
ROCK ISLAND SD 41,Illinois,6546,0,0.1,0.16,0.550412466,17.43,0.979,0
SOUTHINGTON SCHOOL DISTRICT,Connecticut,6537,0,0.02,0.14,0.146703381,13.12,0.984,0
SUNNYVALE,California,6536,0,0.32,0.11,0.306762546,21.89,1.064,0
WOODSTOCK CUSD 200,Illinois,6513,0,0.12,0.12,0.39198526,15.95,0.921,0
LAUDERDALE CO SCHOOL DIST,Mississippi,6506,0,0.01,0.13,0.550876114,14.78,1.016,0
COLLINSVILLE CUSD 10,Illinois,6505,0,0.08,0.16,0.555572636,15.29,0.965,0
NOVI COMMUNITY SCHOOL DISTRICT,Michigan,6501,0,0.16,0.07,0.058144901,16.04,1.014,0
OKEECHOBEE,Florida,6494,0,0.14,0.2,0.822605482,15.33,1.001,0
FAYETTE COUNTY SCHOOLS,West Virginia,6487,0,0,0.15,0.417758594,13.7,0.954,1
ORANGE COUNTY DEPARTMENT OF EDUCATION,California,6485,0.71,0.16,0.03,0.572860447,18.51,0.981,0
RITENOUR,Missouri,6485,0,0.11,0.15,0.710717039,16.59,0.958,0
LAURENS COUNTY,Georgia,6484,0,0.01,0.09,0.7254781,15.59,0.978,0
M S D DECATUR TOWNSHIP,Indiana,6477,0,0.05,0.15,0.665277134,19.05,0.865,0
MOORPARK UNIFIED,California,6472,0.08,0.16,0.14,0.342243511,22.77,1.012,0
BEREA CITY,Ohio,6465,0,0.03,0.15,0.243310131,18.07,0.905,0
GLOUCESTER TOWNSHIP SCHOOL DISTRICT,New Jersey,6460,0,0.02,0.19,0.38869969,12.22,0.977,0
SELMA UNIFIED,California,6459,0,0.26,0.12,0.802136554,23.16,0.99,0
ALTON CUSD 11,Illinois,6456,0,0,0.2,0.558705081,15.43,1.106,0
LEE COUNTY,Georgia,6447,0,0.02,0.09,0.535170413,16.94,1.004,0
PRINCE GEORGE CO PBLC SCHS,Virginia,6446,0,0.01,0.13,0.40567794,15.3,0.956,0
KINGSTON CITY SCHOOL DISTRICT,New York,6445,0,0.05,0.26,0.5613654,12.47,0.967,0
TROY R-III,Missouri,6444,0,0.01,0.13,0.357541899,15.84,0.955,0
BLOOMFIELD TOWNSHIP SCHOOL DISTRICT,New Jersey,6438,0,0.04,0.16,0.44082013,12.56,0.897,0
FOREST LAKE PUBLIC SCHOOL DISTRICT,Minnesota,6424,0,0.01,0.15,0.21886675,16.87,0.992,0
SYOSSET CENTRAL SCHOOL DISTRICT,New York,6418,0,0.03,0.13,0.049703958,10.52,0.978,0
FRANKLIN COUNTY,Kentucky,6414,0,0.03,0.12,0.589189189,17.54,0.897,1
SARATOGA SPRINGS CITY SD,New York,6412,0,0.02,0.13,0.202432938,13.48,0.978,0
WESTFIELD PUBLIC SCHOOL DISTRICT,New Jersey,6406,0,0.01,0.19,0.02263503,12.94,0.972,0
MAINE TOWNSHIP HSD 207,Illinois,6398,0,0.06,0.14,0.281494217,16.34,0.998,0
CALDWELL DISTRICT,Idaho,6397,0,0.16,0.11,0.840706581,18.72,0.914,0
CREIGHTON ELEMENTARY DISTRICT,Arizona,6395,0,0.24,0.1,0.836278342,18.23,1.465,1
NORTHWEST R-I,Missouri,6392,0,0.01,0.13,0.350750939,15.58,1.064,0
VANCE COUNTY SCHOOLS,North Carolina,6391,0,0.05,0.12,0.977468315,14.27,1.011,0
FOUNTAIN VALLEY ELEMENTARY,California,6387,0,0.14,0.08,0.193204948,26.67,0.993,0
NACOGDOCHES ISD,Texas,6382,0,0.26,0.08,0.812441241,15.35,0.928,0
VALPARAISO COMMUNITY SCHOOLS,Indiana,6372,0,0.02,0.15,0.259730069,18.75,0.89,0
COATESVILLE AREA SD,Pennsylvania,6359,0,0.05,0.26,0.565183205,13.19,1.037,0
BRISTOL TOWNSHIP SD,Pennsylvania,6352,0,0.04,0.24,0.628148615,15.61,1.417,0
AZLE ISD,Texas,6345,0,0.04,0.09,0.457368006,16.31,1.274,0
NATCHITOCHES PARISH,Louisiana,6337,0,0.01,0.11,0.544421651,14.06,0.984,0
ST. MICHAEL-ALBERTVILLE SCHOOL DIST,Minnesota,6336,0,0.02,0.09,0.116003788,17.92,0.882,0
AUBURN WASHBURN,Kansas,6333,0,0.03,0.13,0.329227854,14.25,0.941,0
HICKMAN MILLS C-1,Missouri,6328,0,0.06,0.14,0.989728192,13.45,0.981,0
DALLASTOWN AREA SD,Pennsylvania,6328,0,0.02,0.18,0.303413401,15.98,0.967,0
BRIDGETON CITY SCHOOL DISTRICT,New Jersey,6324,0,0.18,0.09,0.553289058,13.82,1.161,0
DEHESA ELEMENTARY,California,6322,0.88,0,0.1,0.340873141,20.02,1.038,0
LAKESIDE UNION ELEMENTARY,California,6313,0.25,0.05,0.13,0.409789324,24.95,1.139,0
COMMACK UNION FREE SCHOOL DISTRICT,New York,6307,0,0.01,0.2,0.089424449,11.89,0.989,0
WEBSTER PARISH,Louisiana,6306,0,0.01,0.13,0.705359975,16.85,0.933,0
SAN GABRIEL UNIFIED,California,6302,0.11,0.24,0.1,0.570453824,21.6,0.998,0
LAKEWOOD TOWNSHIP SCHOOL DISTRICT,New Jersey,6302,0,0.23,0.59,0.675975881,13.75,1.027,0
GULFPORT SCHOOL DIST,Mississippi,6300,0,0.04,0.13,0.676031746,16.23,0.959,0
THREE VILLAGE CENTRAL SCHOOL DISTRICT,New York,6299,0,0.01,0.15,0.094618193,12.58,1.054,0
SOUTHFIELD PUBLIC SCHOOL DISTRICT,Michigan,6290,0,0.04,0.13,0.557392687,15.9,1.026,0
CHSD 155,Illinois,6288,0,0.01,0.12,0.184160305,17.14,1.099,0
ROME CITY,Georgia,6284,0,0.12,0.11,0.829089752,15.18,1.108,0
GRANITE CITY CUSD 9,Illinois,6282,0,0.03,0.21,0.639764406,20.4,1.007,0
MAGNOLIA ELEMENTARY,California,6277,0,0.52,0.1,0.85088418,25.99,1.05,0
JONESBORO SCHOOL DISTRICT,Arkansas,6276,0.09,0.05,0.13,0.577597196,16.09,0.924,0
COTATI-ROHNERT PARK UNIFIED,California,6272,0.14,0.18,0.12,0.402423469,21.51,1.089,0
CENTENNIAL SD 28J,Oregon,6272,0,0.2,0.16,0.676977041,20.72,0.974,0
MONTROSE COUNTY SCHOOL DISTRICT RE-1J,Colorado,6252,0.13,0.13,0.11,0.484325016,18.15,0.988,1
MANCHESTER SCHOOL DISTRICT,Connecticut,6249,0,0.06,0.16,0.561009916,11.03,0.979,0
CRANE ELEMENTARY DISTRICT,Arizona,6247,0,0.12,0.11,0.879141988,22.58,0.972,1
DAVIE COUNTY SCHOOLS,North Carolina,6242,0,0.03,0.16,0.454021147,14.62,1.089,0
STILLWATER,Oklahoma,6233,0,0.04,0.14,0.449221884,17.86,0.883,1
RAYMORE-PECULIAR R-II,Missouri,6226,0,0.01,0.09,0.261162865,15.62,0.912,0
BENSALEM TOWNSHIP SD,Pennsylvania,6219,0,0.08,0.25,0.516642547,14.36,1.161,0
NEWARK CITY,Ohio,6211,0,0.01,0.21,0.602479472,18.5,0.887,0
BIXBY,Oklahoma,6204,0,0.03,0.14,0.228401032,19.35,1.007,1
CENTRAL CONSOLIDATED SCHOOLS,New Mexico,6202,0,0.16,0.15,0.616575298,15.58,0.967,0
LINDEN PUBLIC SCHOOL DISTRICT,New Jersey,6198,0,0.05,0.16,0.551952243,11.91,0.987,0
FOREST GROVE SD 15,Oregon,6193,0.1,0.17,0.17,0.556273212,20.88,0.995,0
OAK PARK ESD 97,Illinois,6190,0,0.02,0.14,0.177705977,14.87,1.002,0
MCDOWELL COUNTY SCHOOLS,North Carolina,6189,0,0.05,0.18,0.5934375,14.44,1.051,0
HARRISONBURG CITY PBLC SCHS,Virginia,6187,0,0.32,0.11,0.699854534,13.51,1.018,0
BILOXI PUBLIC SCHOOL DIST,Mississippi,6184,0,0.07,0.11,0.611739974,16.24,0.949,0
HARRISBURG CITY SD,Pennsylvania,6182,0,0.14,0.21,0.770462633,12.66,0.95,0
WARE COUNTY,Georgia,6176,0,0.02,0.16,0.901068653,14.86,0.966,0
NIXA PUBLIC SCHOOLS,Missouri,6175,0,0.02,0.12,0.319676113,14.58,1.189,0
PLAIN LOCAL,Ohio,6174,0,0.01,0.14,0.481373502,21.22,0.895,0
HOWARD-SUAMICO SCHOOL DISTRICT,Wisconsin,6173,0,0.02,0.12,0.168799611,16.62,1.062,0
GRAND HAVEN AREA PUBLIC SCHOOLS,Michigan,6167,0,0.02,0.13,0.325604021,17.5,1.011,0
SAYREVILLE SCHOOL DISTRICT,New Jersey,6156,0,0.02,0.19,0.358349578,12.98,0.994,0
BARSTOW UNIFIED,California,6154,0,0.11,0.14,0.781930452,25.95,0.867,0
EDGECOMBE COUNTY PUBLIC SCHOOLS,North Carolina,6151,0,0.04,0.14,0.966346935,15.59,1.04,0
NEWBERRY 01,South Carolina,6151,0,0.09,0.15,0.821004715,14.01,0.951,0
STOKES COUNTY SCHOOLS,North Carolina,6148,0,0.01,0.22,0.51008458,14.09,1.071,0
BAY SHORE UNION FREE SCHOOL DISTRICT,New York,6141,0,0.09,0.16,0.487705585,13.59,0.953,0
SAHUARITA UNIFIED DISTRICT,Arizona,6133,0,0.03,0.12,0.356758519,19.24,0.919,1
MONROE TOWNSHIP PUBLIC SCHOOL DISTRICT,New Jersey,6122,0,0.01,0.21,0.337471415,13.94,0.968,0
NORTH BRUNSWICK TOWNSHIP SCHOOL DISTRICT,New Jersey,6115,0,0.04,0.13,0.407195421,12.53,0.958,0
ELMIRA CITY SCHOOL DISTRICT,New York,6115,0,0,0.17,0.618806214,14.74,0.881,0
ALABASTER CITY,Alabama,6114,0,0.06,0.07,0.376512921,16.92,1.14,0
YORKVILLE CUSD 115,Illinois,6112,0,0.03,0.16,0.158213351,14.96,1.081,0
ANDOVER,Massachusetts,6106,0,0.04,0.19,0.11414791,13.36,1.025,0
ELYRIA CITY SCHOOLS,Ohio,6105,0,0.02,0.19,0.641769042,16.51,0.867,0
EASTMONT SCHOOL DISTRICT,Washington,6102,0,0.18,0.11,0.556211078,19.41,0.919,0
MOORESVILLE GRADED SCHOOL DISTRICT,North Carolina,6101,0,0.03,0.13,0.371906245,16.71,1.01,0
SOUTH HUNTINGTON UNION FREE SCHOOL DISTRICT,New York,6091,0,0.16,0.18,0.47939583,12.42,0.963,0
FRIENDSWOOD ISD,Texas,6087,0,0.02,0.1,0.079678002,16.15,0.931,0
WHITTIER CITY ELEMENTARY,California,6075,0,0.19,0.16,0.78600823,24.7,1.047,0
CANUTILLO ISD,Texas,6064,0.1,0.27,0.09,0.705474934,15.56,1.219,0
FAIRPORT CENTRAL SCHOOL DISTRICT,New York,6061,0,0.02,0.15,0.219930705,11.86,1.048,0
BARTLESVILLE,Oklahoma,6050,0,0.04,0.11,0.498512397,16.93,1.118,1
EL CENTRO ELEMENTARY,California,6049,0.2,0.41,0.12,0.815837328,25.55,0.94,0
SAGINAW SCHOOL DISTRICT OF THE CITY OF,Michigan,6044,0,0.05,0.14,0.718563865,17.44,0.914,0
WAYNESVILLE R-VI,Missouri,6043,0,0.03,0.17,0.416349495,14.3,0.896,0
GARDNER EDGERTON,Kansas,6036,0,0.02,0.15,0.322564612,14.67,1.043,0
WELD COUNTY REORGANIZED SCHOOL DISTRICT NO. RE-4,Colorado,6034,0.2,0.02,0.11,0.164898906,18.02,0.843,1
LAWNDALE ELEMENTARY,California,6028,0.11,0.35,0.12,0.812043796,22.72,0.995,0
